DateTime,yaksys_af,bum_af,bum_fb,rim_q,rim_af
2026-09-09 13:45,,13426.84,3407.63,1096.00,131190.00
2026-09-09 14:00,,13426.84,3407.63,1096.00,131210.00
2026-09-09 14:15,,13426.84,3407.63,1141.00,131170.00
2026-09-09 14:30,,13426.84,3407.63,1148.00,131149.95
2026-09-09 14:45,,13418.04,3407.62,1148.00,131109.85
2026-09-09 15:00,,13418.04,3407.62,1148.00,131109.85
2026-09-09 15:15,,13418.04,3407.62,1148.00,131089.80
2026-09-09 15:30,,13409.02,3407.61,1148.00,131069.75
2026-09-09 15:45,,13409.02,3407.61,1141.00,131069.75
2026-09-09 16:00,,13409.02,3407.61,1148.00,131010.09
2026-09-09 16:15,,13400.00,3407.60,1148.00,131029.66
2026-09-09 16:30,,13400.00,3407.60,1148.00,130990.04
2026-09-09 16:45,,13400.00,3407.60,1148.00,130990.04
2026-09-09 17:00,,13391.00,3407.59,1148.00,130970.00
2026-09-09 17:15,,13391.00,3407.59,1148.00,130950.00
2026-09-09 17:30,,13391.00,3407.59,1148.00,130950.00
2026-09-09 17:45,,13391.00,3407.59,1148.00,130890.00
2026-09-09 18:00,,13382.00,3407.58,1148.00,130890.00
2026-09-09 18:15,,13382.00,3407.58,1148.00,130850.00
2026-09-09 18:30,,13382.00,3407.58,1148.00,130850.00
2026-09-09 18:45,,13373.00,3407.57,1148.00,130810.00
2026-09-09 19:00,,13373.00,3407.57,1148.00,130810.00
2026-09-09 19:15,,13373.00,3407.57,1148.00,130750.00
2026-09-09 19:30,,13373.00,3407.57,1148.00,130770.00
2026-09-09 19:45,,13373.00,3407.57,1148.00,130710.00
2026-09-09 20:00,,13364.00,3407.56,1148.00,130710.00
2026-09-09 20:15,,13364.00,3407.56,1148.00,130670.00
2026-09-09 20:30,,13364.00,3407.56,1148.00,130670.00
2026-09-09 20:45,,13355.00,3407.55,1148.00,130630.00
2026-09-09 21:00,,13355.00,3407.55,1148.00,130650.00
2026-09-09 21:15,,13346.00,3407.54,1148.00,130610.00
2026-09-09 21:30,,13355.00,3407.55,1148.00,130590.00
2026-09-09 21:45,,13355.00,3407.55,1148.00,130570.00
2026-09-09 22:00,,13346.00,3407.54,1148.00,130570.00
2026-09-09 22:15,,13346.00,3407.54,1148.00,130529.91
2026-09-09 22:30,,13337.00,3407.53,1148.00,130529.91
2026-09-09 22:45,,13337.00,3407.53,1148.00,130490.30
2026-09-09 23:00,,13337.00,3407.53,1148.00,130490.30
2026-09-09 23:15,,13328.00,3407.52,1148.00,130450.20
2026-09-09 23:30,,13337.00,3407.53,1148.00,130430.15
2026-09-09 23:45,,13328.00,3407.52,1148.00,130430.15
2026-09-10 00:00,,13319.00,3407.51,1148.00,130410.10
2026-09-10 00:15,,13319.00,3407.51,1148.00,130370.00
2026-09-10 00:30,,13319.00,3407.51,1148.00,130350.00
2026-09-10 00:45,,13319.00,3407.51,1148.00,130350.00
2026-09-10 01:00,,13319.00,3407.51,1148.00,130290.00
2026-09-10 01:15,,13310.00,3407.50,1148.00,130290.00
2026-09-10 01:30,,13319.00,3407.51,1148.00,130250.00
2026-09-10 01:45,,13310.00,3407.50,1148.00,130230.00
2026-09-10 02:00,,13310.00,3407.50,1148.00,130210.00
2026-09-10 02:15,,13310.00,3407.50,1148.00,130230.00
2026-09-10 02:30,,13310.00,3407.50,1148.00,130170.00
2026-09-10 02:45,,13301.00,3407.49,1148.00,130190.00
2026-09-10 03:00,,13301.00,3407.49,1148.00,130149.95
2026-09-10 03:15,,13301.00,3407.49,1148.00,130129.90
2026-09-10 03:30,,13301.00,3407.49,1148.00,130129.90
2026-09-10 03:45,,13301.00,3407.49,1148.00,130109.85
2026-09-10 04:00,,13292.00,3407.48,1148.00,130089.80
2026-09-10 04:15,,13292.00,3407.48,1148.00,130049.70
2026-09-10 04:30,,13292.00,3407.48,1148.00,130069.75
2026-09-10 04:45,,13292.00,3407.48,1148.00,130010.09
2026-09-10 05:00,,13292.00,3407.48,1148.00,130010.09
2026-09-10 05:15,,13283.00,3407.47,1148.00,129970.00
2026-09-10 05:30,,13283.00,3407.47,1141.00,129970.00
2026-09-10 05:45,,13283.00,3407.47,1148.00,129950.00
2026-09-10 06:00,,13283.00,3407.47,1148.00,129930.00
2026-09-10 06:15,,13283.00,3407.47,1148.00,129890.00
2026-09-10 06:30,,13274.00,3407.46,1148.00,129890.00
2026-09-10 06:45,,13274.00,3407.46,1148.00,129850.00
2026-09-10 07:00,,13265.00,3407.45,1148.00,129850.00
2026-09-10 07:15,,13265.00,3407.45,1148.00,129810.00
2026-09-10 07:30,,13265.00,3407.45,1148.00,129810.00
2026-09-10 07:45,,13265.00,3407.45,1148.00,129790.00
2026-09-10 08:00,,13265.00,3407.45,1148.00,129790.00
2026-09-10 08:15,,13256.00,3407.44,1204.00,129730.00
2026-09-10 08:30,,13256.00,3407.44,1204.00,129730.00
2026-09-10 08:45,,13256.00,3407.44,1204.00,129690.00
2026-09-10 09:00,,13247.00,3407.43,1204.00,129690.00
2026-09-10 09:15,,13247.00,3407.43,1246.00,129650.00
2026-09-10 09:30,,13238.00,3407.42,1253.00,129650.00
2026-09-10 09:45,,13238.00,3407.42,1253.00,129610.00
2026-09-10 10:00,,13238.00,3407.42,1253.00,129590.00
2026-09-10 10:15,,13238.00,3407.42,1253.00,129570.00
2026-09-10 10:30,,13229.00,3407.41,1253.00,129550.96
2026-09-10 10:45,,13229.00,3407.41,1253.00,129513.33
2026-09-10 11:00,,13229.00,3407.41,1253.00,129513.33
2026-09-10 11:15,,,,1253.00,129494.28
2026-09-10 11:30,,,,1253.00,129456.19
2026-09-10 11:45,,,,1253.00,129437.14
