DateTime,bum_af,bum_fb,bum_qd,bum_qu
2024-07-01,30743.94,3423.68,186.00,192.57
2024-07-02,30743.94,3423.68,185.81,185.81
2024-07-03,30704.84,3423.65,184.44,164.73
