DateTime,Current Year,Previous Year,Average
2001/01/24,738730.2,190139.1,541063.2260000001
2001/01/25,740002.05,190468.03,543168.0013333333
2001/01/26,741234,190895.67,545534.0156666666
2001/01/27,742321.46,191116.41,547821.7213333334
2001/01/28,743710.98,191697,550057.9183333333
2001/01/29,745825.8,192038.03,552611.183
2001/01/30,747977,191782.59,555231.515
2001/01/31,750205.08,193269.97,559103.7793333334
2001/02/01,753053.44,194199.18,563135.3096666668
2001/02/02,756392.21,194763.48,566127.385
2001/02/03,759653.47,195243.78,568551.2540000001
2001/02/04,762446.89,195489.64,571005.4833333333
2001/02/05,765254.3,195781.41,573448.2543333335
2001/02/06,767960.47,196248.93,576407.8356666666
2001/02/07,771626.99,196497.93,580046.3463333332
2001/02/08,775163.02,196937.82,584414.2763333335
2001/02/09,778490.45,197193.02,587931.7686666666
2001/02/10,781385.66,197454.14,590569.4536666668
2001/02/11,784058.04,197533.35,592594.5796666667
2001/02/12,786433.33,197422.52,594485.3583333335
2001/02/13,788844.9,197526.72,596060.0810000001
2001/02/14,790853.06,197751.96,597675.6819999999
2001/02/15,792637.75,197929.06,600039.3336666666
2001/02/16,794138.04,198099.97,602377.741
2001/02/17,795658.41,198399.27,604472.1503333333
2001/02/18,796911.62,198565.03,606397.4470000002
2001/02/19,798066.54,198986.01,608846.9856666665
2001/02/20,798931.83,199099.99,611108.7043333334
2001/02/21,799819.77,199440.09,613202.9003333333
2001/02/22,800937.9,200436.82,615473.5586666666
2001/02/23,802139.28,204495.15,617239.2446666666
2001/02/24,803379.24,210633.76,618530.0440000001
2001/02/25,804067.95,216712.45,619754.4076666668
2001/02/26,805115.61,221642.75,620738.5563333334
2001/02/27,805875.89,225722.99,621879.4943333332
2001/02/28,806571.66,229285.95,622979.569
2001/03/01,807228.89,232730.86,624374.9896666668
2001/03/02,807834.99,236345.8,625564.4579999999
2001/03/03,808492.66,240247.11,626881.5280000003
2001/03/04,809974.15,244340.34,628216.9606666666
2001/03/05,811248.42,248068.98,629721.1060000001
2001/03/06,813297.34,251298.95,631308.5233333334
2001/03/07,815623.83,254389.03,632872.9693333333
2001/03/08,821057.09,257040.57,634393.2296666668
2001/03/09,826880.7,259588.26,636435.7550000001
2001/03/10,831159.67,262037.01,638423.4196666668
2001/03/11,838346.88,264437.02,640538.55
2001/03/12,847197.96,266899.76,643433.9686666667
2001/03/13,858023.72,269453.45,646192.1349999999
2001/03/14,865642.99,271533.81,649074.417
2001/03/15,871276.37,274081.57,652255.9263333335
2001/03/16,877045.25,276197.96,655165.9970000001
2001/03/17,883644.59,278031.11,657715.5153333334
2001/03/18,899018.16,279668,660422.3416666667
2001/03/19,918523.99,281071.07,663488.7899999999
2001/03/20,950203.3,282920.05,666461.59
2001/03/21,966452.22,285574.95,668839.1766666666
2001/03/22,973882.01,287615.97,671166.4149999999
2001/03/23,976727.59,291392,673455.2033333334
2001/03/24,979269.1,303754.07,676022.216
2001/03/25,977113.1,322034.71,678699.3043333334
2001/03/26,972801.1,340065.08,680977.9490000003
2001/03/27,968335.89,362602.96,682985.4196666667
2001/03/28,966976.11,378953.8,684869.882
2001/03/29,968340.19,390860.98,686879.1186666664
2001/03/30,970786.63,399986.59,688954.3656666668
2001/03/31,972559.19,407568.24,691764.9413333333
2001/04/01,974701.1,414037.45,694401.2609999999
2001/04/02,977268.22,419622.43,697131.9886666666
2001/04/03,979269.92,424288.01,699628.519
2001/04/04,981196.77,428516.07,702076.0403333332
2001/04/05,983196.24,432650.31,704469.5036666667
2001/04/06,986083.29,437038.9,706879.7283333333
2001/04/07,989340.33,443539.04,709486.1933333334
2001/04/08,992488.31,451556.36,712325.6173333332
2001/04/09,995411.3,458792.21,715418.9656666667
2001/04/10,998262.81,465763.99,718375.2563333336
2001/04/11,1000997.36,473084.86,721203.725
2001/04/12,1003553.2,479743.37,723914.0523333333
2001/04/13,1006324.12,485566.68,726927.5016666667
2001/04/14,1009737.72,490597.68,730373.6016666667
2001/04/15,1013250.15,495913,733199.7916666666
2001/04/16,1014383.73,501866.74,735924.2583333333
2001/04/17,1014542.7,507947.79,738840.6793333333
2001/04/18,1014320.93,514264.17,741770.3816666666
2001/04/19,1013957.18,520786.17,745163.4733333333
2001/04/20,1013242.42,527942.52,749134.0966666668
2001/04/21,1011869.83,534354,753516.8916666667
2001/04/22,1011981,539671.54,758002.4923333334
2001/04/23,1012082.92,543922.99,762809.7123333331
2001/04/24,1014220.38,547382.18,767616.2833333332
2001/04/25,1016969.04,550852,771829.7043333333
2001/04/26,1019281.01,555133.87,775726.7156666667
2001/04/27,1020867.3,560955.96,779839.1546666666
2001/04/28,1021896.27,567177.64,783779.8256666667
2001/04/29,1022453.64,574366.85,788125.3763333333
2001/04/30,1022408.23,581089.77,792835.7506666667
2001/05/01,1021973.05,587374.52,797501.7616666667
2001/05/02,1022151.64,593987.01,802079.0190000001
2001/05/03,1023798.87,602354.11,806751.4319999999
2001/05/04,1025555.99,608527.94,811331.3543333333
2001/05/05,1026468.78,613534.9,816214.3813333331
2001/05/06,1026142.55,618074.9,821120.8829999999
2001/05/07,1025585.35,623238.33,826007.6406666668
2001/05/08,1025626.27,628720.62,831123.0443333334
2001/05/09,1025911.46,634136.66,836360.8563333333
2001/05/10,1026034.83,639458.08,841136.0166666668
2001/05/11,1025867.12,644684.65,845907.8843333332
2001/05/12,1025862.81,648870.86,851160.368
2001/05/13,1026518.02,650890.76,856871.2946666668
2001/05/14,1025154.52,652086.09,863016.4316666668
2001/05/15,1024544.89,653478.21,870104.6613333332
2001/05/16,1025822.12,655610.61,877691.3733333333
2001/05/17,1026041.36,658747.01,885145.5676666667
2001/05/18,1025581.97,662151.06,892040.6366666666
2001/05/19,1024732.73,665429.49,897975.4099999998
2001/05/20,1023357.06,667225.99,903341.5653333333
2001/05/21,1021694.99,666325.97,908174.4496666664
2001/05/22,1020610.01,666761.86,912639.4643333333
2001/05/23,1019044.36,668489.81,917080.7749999999
2001/05/24,1015702.57,671034.05,921456.912
2001/05/25,1010436.78,674803.28,925559.4833333332
2001/05/26,1005511.15,680643.37,929189.6306666664
2001/05/27,1002251.74,686134.36,932577.0703333332
2001/05/28,1000946.8,692055.77,936164.0243333334
2001/05/29,1001037.58,698315.83,939977.8016666665
2001/05/30,999662.86,701739.99,943837.6056666665
2001/05/31,997551.69,703965.37,947528.9166666666
2001/06/01,994591.58,705645.17,951368.3913333334
2001/06/02,991276.71,707152.9,955005.5246666666
2001/06/03,987545,708434.33,958004.7263333332
2001/06/04,983299.9,708421.91,960394.2953333333
2001/06/05,976840.93,707754.17,962692.8203333332
2001/06/06,970733.23,707820.85,964528.8226666667
2001/06/07,966285.23,709219.35,965726.2813333332
2001/06/08,962564.82,711130.97,966497.7516666666
2001/06/09,961976.49,713722.12,966928.3156666666
2001/06/10,960702.12,715771.05,967421.9959999997
2001/06/11,958453.46,717009.08,967980.3463333331
2001/06/12,955107.81,716702.62,968918.9349999999
2001/06/13,951239.95,714865.78,970073.0746666663
2001/06/14,947160.79,712279.84,970950.8966666667
2001/06/15,943033.22,709559.46,971586.5199999999
2001/06/16,938523.33,706434.69,971953.7013333332
2001/06/17,933729.46,702847.96,972086.9673333335
2001/06/18,928771.85,698717.97,971809.0516666666
2001/06/19,923499.2,694483.58,971030.6536666665
2001/06/20,918045.99,689828.55,970102.9953333332
2001/06/21,912428.57,685293.01,969133.4656666666
2001/06/22,907135.68,680881.03,968120.1196666664
2001/06/23,901970.04,676482.49,966839.3666666666
2001/06/24,896312.96,671762.99,965278.4869999998
2001/06/25,890302.09,667133.47,963530.9346666664
2001/06/26,883828.9,662387.88,961156.2639999999
2001/06/27,877399.76,657286,958624.8906666666
2001/06/28,870801.68,651906.82,955987.2543333333
2001/06/29,864215,646474.43,953287.3429999998
2001/06/30,857816.02,640838.99,950086.2256666665
2001/07/01,850739.1,635012.01,946496.3413333334
2001/07/02,843778.88,628798.35,942713.9209999999
2001/07/03,836592.1,622122.11,938747.6696666664
2001/07/04,829328.79,615416.55,934322.2383333334
2001/07/05,821923.18,608585.51,929662.8783333334
2001/07/06,814460.39,601677.86,924861.9096666666
2001/07/07,806826.96,594724.93,919919.4283333333
2001/07/08,798826.04,587746,914845.2693333331
2001/07/09,790500.25,580632.01,909608.691
2001/07/10,782314.07,573457.35,904075.9563333334
2001/07/11,773971.57,566342,898330.0049999998
2001/07/12,765786.35,559003.99,892260.7890000002
2001/07/13,757572.7,551663.81,885997.6
2001/07/14,749357.96,544441.9,879491.1533333332
2001/07/15,740914.72,537320.1,872737.6866666668
2001/07/16,732679.64,529854.14,865808.5030000001
2001/07/17,724199.82,522263.63,858770.3283333333
2001/07/18,715629.69,514668.66,851762.7433333334
2001/07/19,707101.07,506934.01,844554.3896666667
2001/07/20,698740.7,499174.38,837269.5966666664
2001/07/21,690384.46,491686.73,829831.8966666666
2001/07/22,682353,484234.99,822217.3313333332
2001/07/23,673880.9,476773,814472.1886666667
2001/07/24,665443.5,469086.6,806650.8186666666
2001/07/25,656837.68,461173.29,798692.7913333334
2001/07/26,648156.41,453246.15,790668.4213333336
2001/07/27,639458.11,445403.05,782522.7163333333
2001/07/28,630989.8,437884.07,774317.3316666665
2001/07/29,622302.89,430007.69,765925.1226666666
2001/07/30,613325.65,422381.96,757527.689
2001/07/31,604536.85,414781.06,748958.9113333334
2001/08/01,595525.17,407440.99,740344.6130000001
2001/08/02,586737.43,400003.78,731567.1103333331
2001/08/03,578102.18,392371.59,722811.2656666667
2001/08/04,569706.75,385017.67,714014.3929999999
2001/08/05,561210,377640.78,705238.3503333332
2001/08/06,552556.06,370698.8,696474.6053333334
2001/08/07,543784.99,363727.4,687761.8000000003
2001/08/08,535124.95,356706.35,679019.5500000002
2001/08/09,526460.99,349521.11,670255.283
2001/08/10,517799.79,342267.03,661424.6336666667
2001/08/11,509272.94,335267.16,652589.6036666665
2001/08/12,500658.96,328207.5,643849.684
2001/08/13,492332.42,320962.93,635075.8283333334
2001/08/14,483975.23,314149.01,626284.4443333333
2001/08/15,475876.38,308275.68,617468.9636666668
2001/08/16,467735.32,302995.28,608698.038666667
2001/08/17,459933.2,297776.24,599972.7546666668
2001/08/18,452135.67,292370.89,591231.09
2001/08/19,443966.03,286672.88,582532.1280000001
2001/08/20,435554.99,280689,573890.2050000001
2001/08/21,427146.65,274748.03,565362.283
2001/08/22,418642.88,268567.64,556992.7270000001
2001/08/23,410379.96,262412.08,548591.0673333334
2001/08/24,402563.53,256432.16,540434.2893333334
2001/08/25,394606.56,250674.87,532454.0086666667
2001/08/26,386336.96,245126.01,524621.4456666667
2001/08/27,378455,239321,516756.33
2001/08/28,370711.81,233846.97,509101.428
2001/08/29,363100.99,228587.6,501556.52366666676
2001/08/30,355947.44,223240.14,494200.8963333333
2001/08/31,348970.06,218020,486929.1960000001
2001/09/01,342967.77,212867.01,479893.83766666683
2001/09/02,336073.21,207930,472957.54966666683
2001/09/03,329696.38,202986.05,466104.538
2001/09/04,323899.44,198182.05,459449.096
2001/09/05,318421.51,193299.22,452883.223
2001/09/06,313113.56,188711.36,446467.8496666669
2001/09/07,307916.77,183905.03,440167.88633333344
2001/09/08,303097.94,179342.75,433962.8626666668
2001/09/09,298358,175004.9,427797.6833333334
2001/09/10,,170709.1,421739.8073333334
2001/09/11,,166408.15,415831.81333333335
2001/09/12,,161960.68,409847.791
2001/09/13,,157568.38,403874.9406666666
2001/09/14,,153397.52,398037.8376666667
2001/09/15,,148888.85,392341.2996666667
2001/09/16,,144896.1,386726.10366666666
2001/09/17,,140462.37,381306.0460000001
2001/09/18,,136270.9,376137.70133333333
2001/09/19,,132008.96,370979.6913333334
2001/09/20,,127643.16,365718.62999999995
2001/09/21,,123378.91,360642.30733333336
2001/09/22,,119126.27,355561.57333333336
2001/09/23,,115004.95,350538.3856666667
2001/09/24,,111240.22,345650.19800000003
2001/09/25,,107851,340938.3036666665
2001/09/26,,104203.83,336148.53066666675
2001/09/27,,100032.29,331538.1229999999
2001/09/28,,96581.44,327104.25866666675
2001/09/29,,93528.87,322804.04899999994
2001/09/30,,90205.66,319048.08533333335
